DATE,YEAR,LOCATION,OPERATOR,AIRCRAFT_TYPE,TOTAL_FATALITIES,PASSENGER_FATALITIES,CREW_FATALITIES
09/17/1908,1908,"Fort Myer, Virginia",Military - U.S. Army Air Forces,Wright Flyer III,1,1,0
09/07/1909,1909,"Juvisy-sur-Orge, France",Unknown,Wright Byplane,1,0,0
07/12/1912,1912,"Atlantic City, New Jersey",Military - U.S. Navy,Dirigible,5,0,5
08/06/1913,1913,"Victoria, British Columbia, Canada",Private,Curtiss seaplane,1,0,1
10/01/1916,1916,"Potters Bar, England",Military - German Navy,Zeppelin L-31 (airship),19,0,19
12/16/1918,1918,"Elizabeth, New Jersey",US Aerial Mail Service,De Havilland DH-4,1,0,1
05/25/1919,1919,"Cleveland, Ohio",US Aerial Mail Service,De Havilland DH-4,1,0,1
07/19/1919,1919,"Dix Run, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,1,0,1
07/21/1919,1919,"Chicago, Illinois",Wingfoot Air Express Goodyear Tire,FD Type Dirigible,3,2,1
08/02/1919,1919,"Verona, Italy",Caproni Company,Caproni Ca.48,14,12,2
10/02/1919,1919,"Newcastle, England",Aircraft Transport and Travel,De Havilland DH-4,1,0,1
10/14/1919,1919,"Cantonsville, Maryland",US Aerial Mail Service,Curtiss R-4LM,1,0,1
10/20/1919,1919,"English Channel off Forkstone, Kent",Aircraft Transport and Travel,De Havilland DH-4,0,0,0
10/30/1919,1919,"Long Valley, New Jersey",US Aerial Mail Service,De Havilland DH.4,1,0,1
12/11/1919,1919,"Catherham, Surrey, UK",Aircraft Travel Transport,De Havilland DH-4,1,1,1
03/10/1920,1920,"New Paris, Indiana",US Aerial Mail Service,De Havilland DH-4,1,0,1
03/30/1920,1920,"Newark, New Jersey",US Aerial Mail Service,De Havilland DH-4,1,0,1
04/10/1920,1920,"Newark, New Jersey",US Aerial Mail Service,Curtiss R-4LM,1,0,1
04/11/1920,1920,"Heller Field, New Jersey",US Aerial Mail Service,Curtiss JN-4H,1,0,1
